number;lifetime;total dissipation;spatial linear size
29407;150;2088.0;48.877397639399746
29408;2;3.0;1.0
29409;47;201.0;21.213203435596427
29410;60;485.0;26.832815729997478
29411;2;2.0;1.0
29412;4;5.0;2.23606797749979
29413;55;244.0;11.180339887498949
29414;5;10.0;3.1622776601683795
29415;116;1325.0;38.8329756778952
29416;34;238.0;12.36931687685298
29417;101;754.0;39.01281840626232
29418;8;9.0;4.123105625617661
29419;5;7.0;4.0
29420;21;75.0;11.704699910719626
29421;8;11.0;4.242640687119285
29422;21;35.0;13.038404810405298
29423;5;12.0;3.0
29424;132;967.0;42.05948168962618
29425;47;204.0;18.439088914585774
29426;2;2.0;1.0
29427;35;305.0;12.206555615733702
29428;54;241.0;27.65863337187866
29429;25;77.0;12.083045973594572
29430;67;272.0;25.495097567963924
29431;17;36.0;10.295630140987
29432;72;397.0;27.313000567495326
29433;58;171.0;15.620499351813308
29434;15;45.0;8.602325267042627
29435;1;1.0;0.0
29436;626;18762.0;65.5133574166368
29437;7;8.0;3.1622776601683795
29438;6;7.0;3.605551275463989
29439;1;1.0;0.0
29440;32;170.0;12.206555615733702
29441;2;2.0;1.0
29442;306;6984.0;56.43580423808985
29443;4;9.0;2.23606797749979
29444;17;27.0;6.324555320336759
29445;2;2.0;1.0
29446;11;27.0;7.211102550927978
29447;20;29.0;7.0710678118654755
29448;2;2.0;1.0
29449;7;9.0;1.4142135623730951
29450;156;1275.0;51.478150704935004
29451;196;2907.0;51.03920062069938
29452;20;69.0;8.602325267042627
29453;16;59.0;9.219544457292887
29454;93;892.0;30.066592756745816
29455;1;1.0;0.0
29456;57;224.0;16.15549442140351
29457;50;314.0;15.524174696260024
29458;253;5896.0;75.66372975210778
29459;1;1.0;0.0
29460;61;585.0;34.785054261852174
29461;32;240.0;11.180339887498949
29462;1;1.0;0.0
29463;10;36.0;7.280109889280518
29464;16;37.0;9.848857801796104
29465;3;4.0;1.4142135623730951
29466;42;198.0;17.204650534085253
29467;164;2585.0;56.4003546088143
29468;39;184.0;13.341664064126334
29469;5;8.0;2.23606797749979
29470;7;10.0;4.47213595499958
29471;29;135.0;17.0
29472;38;137.0;15.524174696260024
29473;6;7.0;3.1622776601683795
29474;109;1249.0;35.84689665786984
29475;16;40.0;6.4031242374328485
29476;17;46.0;8.246211251235321
29477;15;22.0;7.615773105863909
29478;8;30.0;5.0990195135927845
29479;4;6.0;2.23606797749979
29480;11;13.0;5.830951894845301
29481;6;10.0;4.123105625617661
29482;126;687.0;35.38361202590826
29483;4;5.0;2.23606797749979
29484;3;5.0;2.0
29485;34;171.0;21.213203435596427
29486;8;9.0;5.0
29487;223;4533.0;37.33630940518894
29488;300;5750.0;44.01136216933077
29489;5;7.0;3.1622776601683795
29490;15;79.0;8.48528137423857
29491;16;54.0;8.246211251235321
29492;38;145.0;14.142135623730951
29493;1;1.0;0.0
29494;103;1369.0;31.38470965295043
29495;3;3.0;1.4142135623730951
29496;3;4.0;2.0
29497;1;1.0;0.0
29498;6;10.0;4.123105625617661
29499;1;1.0;0.0
29500;1;1.0;0.0
29501;1;1.0;0.0
29502;4;4.0;2.23606797749979
29503;161;1336.0;69.8927750200262
29504;129;986.0;51.478150704935004
29505;23;134.0;10.295630140987
29506;10;26.0;6.708203932499369
29507;435;8608.0;78.43468620451031
29508;43;226.0;18.027756377319946
29509;41;193.0;19.1049731745428
29510;2;3.0;1.0
29511;1;1.0;0.0
29512;20;50.0;8.54400374531753
29513;5;7.0;2.8284271247461903
29514;8;20.0;3.605551275463989
29515;67;705.0;17.46424919657298
29516;4;4.0;3.0
29517;41;153.0;19.6468827043885
29518;6;9.0;2.23606797749979
29519;14;48.0;7.810249675906654
29520;188;1298.0;85.42247947700886
29521;14;35.0;6.324555320336759
29522;94;509.0;30.805843601498726
29523;2;2.0;1.0
29524;17;27.0;8.54400374531753
29525;42;126.0;18.027756377319946
29526;92;1320.0;28.0178514522438
29527;1;1.0;0.0
29528;19;43.0;8.602325267042627
29529;186;2344.0;49.040799340956916
29530;5;9.0;3.1622776601683795
29531;28;71.0;11.661903789690601
29532;6;10.0;3.1622776601683795
29533;88;450.0;28.0178514522438
29534;37;159.0;13.038404810405298
29535;1;1.0;0.0
29536;3;5.0;2.0
29537;24;59.0;9.899494936611665
29538;2;2.0;1.0
29539;10;14.0;3.605551275463989
29540;1;1.0;0.0
29541;12;23.0;7.615773105863909
29542;102;824.0;27.018512172212592
29543;231;3028.0;71.56814934033156
29544;1;1.0;0.0
29545;56;258.0;21.37755832643195
29546;139;2023.0;63.06346010171025
29547;7;9.0;4.47213595499958
29548;182;3381.0;61.40032573203501
29549;2;2.0;1.0
29550;5;5.0;2.23606797749979
29551;284;1996.0;44.64302857109943
29552;5;6.0;2.23606797749979
29553;481;14960.0;76.60939890117922
29554;1;1.0;0.0
29555;421;5414.0;73.87827826905551
29556;46;150.0;19.313207915827967
29557;2;3.0;1.0
29558;479;9789.0;73.79024325749306
29559;49;315.0;17.72004514666935
29560;130;760.0;50.774009099144415
29561;164;1970.0;68.47627326307996
29562;1;1.0;0.0
29563;1;1.0;0.0
29564;10;18.0;5.0
29565;65;224.0;19.4164878389476
29566;4;4.0;2.23606797749979
29567;107;893.0;36.87817782917155
29568;23;80.0;8.602325267042627
29569;4;6.0;1.4142135623730951
29570;1;1.0;0.0
29571;146;2212.0;35.11409973215888
29572;6;7.0;3.605551275463989
29573;9;19.0;3.1622776601683795
29574;44;96.0;13.601470508735444
29575;155;960.0;49.24428900898052
29576;76;1049.0;20.615528128088304
29577;117;1043.0;36.05551275463989
29578;15;46.0;8.0
29579;69;500.0;21.095023109728988
29580;105;727.0;38.05259518088089
29581;17;35.0;8.246211251235321
29582;7;8.0;3.1622776601683795
29583;45;409.0;13.601470508735444
29584;11;24.0;6.324555320336759
29585;85;593.0;27.784887978899608
29586;60;222.0;32.202484376209235
29587;2;2.0;1.0
29588;189;1750.0;43.04648650006177
29589;15;59.0;8.06225774829855
29590;779;25630.0;62.64982043070834
29591;23;85.0;9.848857801796104
29592;9;11.0;4.123105625617661
29593;1;1.0;0.0
29594;1;1.0;0.0
29595;4;8.0;3.0
29596;2;2.0;1.0
29597;16;37.0;8.54400374531753
29598;4;4.0;1.4142135623730951
29599;30;137.0;10.0
29600;22;54.0;12.041594578792296
29601;6;16.0;3.605551275463989
29602;4;4.0;2.23606797749979
29603;4;4.0;1.4142135623730951
29604;5;5.0;2.0
29605;21;70.0;7.211102550927978
29606;513;8217.0;70.68238818828917
29607;7;8.0;2.23606797749979
29608;3;3.0;2.0
29609;37;211.0;17.26267650163207
29610;1;1.0;0.0
29611;4;4.0;1.4142135623730951
29612;1;1.0;0.0
29613;12;20.0;5.830951894845301
29614;4;4.0;2.23606797749979
29615;207;2568.0;30.675723300355934
29616;29;134.0;14.866068747318506
29617;764;22306.0;70.60453243241541
29618;44;176.0;18.110770276274835
29619;63;265.0;24.698178070456937
29620;3;4.0;1.4142135623730951
29621;393;8998.0;51.62363799656123
29622;1;1.0;0.0
29623;23;91.0;10.04987562112089
29624;1;1.0;0.0
29625;184;1677.0;61.40032573203501
29626;30;98.0;8.06225774829855
29627;72;387.0;14.035668847618199
29628;250;7038.0;70.7248188403477
29629;1;1.0;0.0
29630;4;7.0;2.23606797749979
29631;4;4.0;2.23606797749979
29632;109;591.0;28.861739379323623
29633;68;350.0;25.80697580112788
29634;674;6309.0;45.254833995939045
29635;1;1.0;0.0
29636;66;240.0;15.297058540778355
29637;15;41.0;5.385164807134504
29638;13;27.0;5.385164807134504
29639;3;3.0;2.0
29640;2;2.0;1.0
29641;14;33.0;6.324555320336759
29642;55;250.0;16.492422502470642
29643;247;3577.0;55.362442142665635
29644;315;2980.0;50.774009099144415
29645;1;1.0;0.0
29646;4;8.0;3.0
29647;6;10.0;3.605551275463989
29648;2;2.0;1.0
29649;6;14.0;3.605551275463989
29650;74;456.0;28.653097563788805
29651;1;1.0;0.0
29652;2;2.0;1.0
29653;5;13.0;3.1622776601683795
29654;5;5.0;2.0
29655;16;32.0;8.06225774829855
29656;4;5.0;2.23606797749979
